annelids 	 Enchytraeus_crypticus 	 genomic_data 	 wnEnchCryp10 	 hic-arima2
annelids 	 Erpobdella_octoculata 	 genomic_data 	 wkErpOcto1 	 10x
annelids 	 Erpobdella_octoculata 	 genomic_data 	 wkErpOcto1 	 hic-arima2
annelids 	 Euclymene_oerstedii 	 genomic_data 	 wxEucOers1 	 pacbio
annelids 	 Eulalia_viridis 	 genomic_data 	 wpEulViri1 	 hic-arima2
annelids 	 Glossiphonia_complanata 	 genomic_data 	 wrGloComp1 	 pacbio
annelids 	 Glossiphonia_complanata 	 genomic_data 	 wrGloComp2 	 hic-arima2
annelids 	 Glycera_tridactyla 	 genomic_data 	 wpGlyTrid1 	 hic-arima2
annelids 	 Goniada_maculata 	 genomic_data 	 wpGonMacu1 	 10x
annelids 	 Goniada_maculata 	 genomic_data 	 wpGonMacu1 	 pacbio
annelids 	 Harmothoe_impar 	 genomic_data 	 wpHarImpa3 	 hic-arima2
annelids 	 Harmothoe_impar 	 genomic_data 	 wpHarImpa5 	 pacbio
annelids 	 Hediste_diversicolor 	 genomic_data 	 wpHedDive2 	 10x
annelids 	 Helobdella_stagnalis 	 genomic_data 	 wrHelStag2 	 10x
annelids 	 Helobdella_stagnalis 	 genomic_data 	 wrHelStag2 	 pacbio
annelids 	 Lepidonotus_clava 	 genomic_data 	 wpLepClav1 	 10x
annelids 	 Lepidonotus_clava 	 genomic_data 	 wpLepClav1 	 hic-arima2
annelids 	 Lepidonotus_clava 	 genomic_data 	 wpLepClav1 	 pacbio
annelids 	 Lumbricus_castaneus 	 genomic_data 	 wcLumCast1 	 10x
annelids 	 Lumbricus_castaneus 	 genomic_data 	 wcLumCast1 	 pacbio
annelids 	 Lumbricus_rubellus 	 genomic_data 	 wcLumRube1 	 10x
annelids 	 Lumbricus_rubellus 	 genomic_data 	 wcLumRube1 	 hic-arima2
annelids 	 Lumbricus_rubellus 	 genomic_data 	 wcLumRube1 	 pacbio
annelids 	 Lumbricus_rubellus 	 genomic_data 	 wcLumRube5 	 hic-arima2
annelids 	 Lumbricus_terrestris 	 genomic_data 	 wcLumTerr1 	 10x
annelids 	 Lumbricus_terrestris 	 genomic_data 	 wcLumTerr1 	 hic-arima2
annelids 	 Lumbricus_terrestris 	 genomic_data 	 wcLumTerr1 	 pacbio
annelids 	 Nephtys_longosetosa 	 genomic_data 	 wpNepLong1 	 hic-arima2
annelids 	 Nereis_pelagica 	 genomic_data 	 wpNerPela1 	 10x
annelids 	 Nereis_pelagica 	 genomic_data 	 wpNerPela1 	 hic-arima2
annelids 	 Octolasion_cyaneum 	 genomic_data 	 wcOctCyan1 	 10x
annelids 	 Octolasion_cyaneum 	 genomic_data 	 wcOctCyan1 	 hic-arima2
annelids 	 Octolasion_cyaneum 	 genomic_data 	 wcOctCyan1 	 pacbio
annelids 	 Phyllodoce_mucosa 	 genomic_data 	 wpPhyMuco1 	 hic-arima2
annelids 	 Piscicola_geometra 	 genomic_data 	 wrPisGeom1 	 10x
annelids 	 Piscicola_geometra 	 genomic_data 	 wrPisGeom1 	 hic-arima2
annelids 	 Piscicola_geometra 	 genomic_data 	 wrPisGeom1 	 pacbio
annelids 	 Scolelepis_squamata 	 genomic_data 	 wdScoSqua1 	 10x
annelids 	 Spirobranchus_lamarcki 	 genomic_data 	 wsSpiLama2 	 10x
annelids 	 Spirobranchus_lamarcki 	 genomic_data 	 wsSpiLama2 	 hic-arima2
annelids 	 Spirobranchus_lamarcki 	 genomic_data 	 wsSpiLama2 	 pacbio
annelids 	 Spirobranchus_triqueter 	 genomic_data 	 wsSpiTriq4 	 hic-arima2
annelids 	 Spirobranchus_triqueter 	 genomic_data 	 wsSpiTriq7 	 hic-arima2
annelids 	 Sthenelais_limicola 	 genomic_data 	 wpSthLimi1 	 10x
annelids 	 Sthenelais_limicola 	 genomic_data 	 wpSthLimi1 	 hic-arima2
annelids 	 Sthenelais_limicola 	 genomic_data 	 wpSthLimi1 	 pacbio
annelids 	 Terebella_lapidaria 	 genomic_data 	 wtTerLapi1 	 10x
annelids 	 Terebella_lapidaria 	 genomic_data 	 wtTerLapi1 	 pacbio
annelids 	 Travisia_forbesii 	 genomic_data 	 wuTraForb1 	 10x
annelids 	 Travisia_forbesii 	 genomic_data 	 wuTraForb1 	 hic-arima2
arthropods 	 Agelena_labyrinthica 	 genomic_data 	 qqAgeLaby1 	 10x
arthropods 	 Agelena_labyrinthica 	 genomic_data 	 qqAgeLaby1 	 hic-arima2
arthropods 	 Allacma_fusca 	 genomic_data 	 qeAllFusc3 	 hic-arima2
arthropods 	 Alopecosa_pulverulenta 	 genomic_data 	 qqAloPulv1 	 10x
arthropods 	 Alopecosa_pulverulenta 	 genomic_data 	 qqAloPulv1 	 hic-arima2
arthropods 	 Alopecosa_pulverulenta 	 genomic_data 	 qqAloPulv1 	 pacbio
arthropods 	 Amaurobius_ferox 	 genomic_data 	 qqAmaFero1 	 10x
arthropods 	 Amaurobius_ferox 	 genomic_data 	 qqAmaFero1 	 pacbio
arthropods 	 Amaurobius_similis 	 genomic_data 	 qqAmaSimi1 	 10x
arthropods 	 Amaurobius_similis 	 genomic_data 	 qqAmaSimi2 	 pacbio
arthropods 	 Anyphaena_numida 	 genomic_data 	 qqAnyNumi1 	 hic-arima2
arthropods 	 Araneus_diadematus 	 genomic_data 	 qqAraDiad2 	 10x
arthropods 	 Araneus_diadematus 	 genomic_data 	 qqAraDiad2 	 pacbio
arthropods 	 Arcitalitrus_sylvaticus 	 genomic_data 	 qmArcSylv1 	 hic-arima2
arthropods 	 Asellus_aquaticus 	 genomic_data 	 qmAseAqua10 	 10x
arthropods 	 Asellus_aquaticus 	 genomic_data 	 qmAseAqua10 	 pacbio
arthropods 	 Asellus_aquaticus 	 genomic_data 	 qmAseAqua1 	 10x
